nom,auteur,editeur,nb_joueurs,age_min,duree,type_jeu,notice,themes,description,image,logo
IQ-Puzzler,Raf Peeters,Smart Games,1 joueur,6 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-puzzler-pro,Abstrait,IQ Puzzler Pro est coffret de casse-têtes de l'éditeur SmartGames proposant 120 défis déclinés sous trois modes de jeu. Ce jeu aux multiples facettes offre aux joueurs de relever aussi bien des défis en 2D qu'en 3D!,https://cdn3.philibertnet.com/401760-large_default/iq-puzzler-pro.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Alerte ! Astéroïdes,Raf Peeters,Smart Games,1 joueur,8 ans,10 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/alerte-ast%C3%A9ro%C3%AFdes,Espace,Alerte ! Astéroïdes est un jeu de casse-tête sur le thème de l'espace comportant 60 défis à résoudre de différents niveaux. Sortirez-vous indemne du champ d'astéroïdes ?,https://cdn1.philibertnet.com/402492-large_default/alerte-asteroides.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Cache Noisettes !,Raf Peeters,Smart Games,1 joueur,6 ans,10 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/cache-noisettes,Animaux,Cache Noisette ! est un jeu de logique qui contient 60 défis de niveaux différents. Résolvez un à un chaque défi proposé en réalisant les schémas démandés.,https://cdn2.philibertnet.com/402483-large_default/cache-noisette-.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Little Action,Babayaga,Djeco,2 à 4 joueurs,2 ans,10 mn,Enfants,http://www.djeco.com/data/rules/DJ08557_FR.pdf,Animaux,"Little action est un jeu d'action, de manipulation et d'adresse pour les petits. Les joueurs devront réussir une multitude de petits défis pour gagner des médailles.",https://cdn1.philibertnet.com/458287-large_default/little-action.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Woolfy,"Grégory Kirszbaum, Alex Sanders",Djeco,2 à 4 joueurs,5 ans,15 mn,Enfants,http://www.djeco.com/data/rules/DJ08427_FR.pdf,Contes,Les joueurs cherchent à construire la maison de brique afin d'y mettre en sécurité les 3 petits cochons avant que le loup ne les ait attrapés et mis dans la marmite. Un jeu idéal pour les petits qui s'allient pour gagner contre le loup.,https://cdn3.philibertnet.com/455854-large_default/woolfy.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Celestia,Aaron Weissblum,Blam!,2 à 6 joueurs,8 ans,30 mn,Tout public,https://blam-edition.com/medias/5bac92bbb1f82_Celestia_FR_1_2_1.pdf,"Transports, Fantastique","Dans Célestia, embarquez dans un aéronef avec une équipe d'aventuriers pour effectuer de nombreux voyages dans les cités de Celestia et récupérer leurs merveilleux trésors.",https://cdn2.philibertnet.com/343788-thickbox_default/celestia.jpg,https://blam-edition.com/images/logo.png
Smile Life,"Alexandre Seba, Margot Rousseau-Aymard",Smile Life,2 à 6 joueurs,12 ans,20 mn,Ambiance,https://www.play-in.com/pdf/rules_games/smile_life_regles_fr.pdf,Vie Courante,"Soyez le plus heureux ! Smile Life consiste à faire et réussir sa vie. Les cartes représentent pour cela des événements liés aux domaines professionnel et personnel : amour, argent, famille, études, carrière, etc. Chaque joueur tâchera d’obtenir les meilleures cartes pour bâtir sa situation et  être le plus heureux possible. Sans épargner les autres pour autant... Posez des cartes face à vous pour faire votre vie. Les smiles, inscrits en haut à gauche des cartes posées, indiquent votre niveau de bonheur. Le but du jeu est d’en avoir le plus possible. Le jeu s’arrête quand la pioche est finie",https://cdn3.philibertnet.com/448513-large_default/smile-life.jpg,https://static.wixstatic.com/media/471cb5_94da4fac34504c089838f9032deb03ba~mv2.jpg
Ligretto,Reiner Stockhausen,Schmidt Spiele,2 à 4 joueurs,8 ans,10 mn,Tout public,https://www.schmidtspiele.de/files/Produkte/0/01301%20-%20Ligretto%C2%AE%20rot/01107_Ligretto_DE-FR-ITpdf.pdf,Chiffres,Jouer à en faire voler les cartes !  On ne saurait être plus rapide ! Un jeu de cartes turbulent qui ne devrait manquer chez aucun amateur de jeux. Tous les joueurs essaient en même temps de placer autant de cartes de la même couleur que possible en respectant l'ordre roissant de 1 à 10.,https://cdn2.philibertnet.com/389677-large_default/ligretto-vert.jpg,https://www.schmidtspiele.de/files/layout/logo.png
Très futé !,Wolfgang Warsch,Schmidt Spiele,1 à 4 joueurs,8 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/6e/2f/13-tres-fute-regle.pdf,Abstrait,"Très futé est un jeu de dés, de combinaisons et de prise de risque. Lancez les dés et cochez les bonnes cases qui vous permettront de débloquer les bonus indispensables à votre victoire !",https://cdn3.philibertnet.com/405200-large_default/tres-fute-.jpg,https://www.schmidtspiele.de/files/layout/logo.png
Le bois des Couadsous,Blaise Muller,Jeux Opla,2 à 4 joueurs,6 ans,30 mn,Enfants,https://www.lad.education/pdf/regle-jeu/le-bois-des-couadsous-regle-jeu-2014-jeux-opla.pdf,Nature Forêt,"On est des Couadsous, et on doit se souvenir du chemin qui conduit à nos noisettes planquées l’automne dernier.",https://cdn1.philibertnet.com/342471-large_default/le-bois-des-couadsous.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Code couleurs,Kris Burm,Smart Games,1 joueur,5 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/code-couleur,Formes & Couleurs,Code couleur est un jeu de casse-tête dans lequel le joueur doit tenter de reconstituer une figure à partir des 18 plaquettes transparentes à superposer. Le jeu contient 100 défis à relever.,https://cdn2.philibertnet.com/486143-large_default/code-couleur.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Il était une ferme,Raf Peeters,Smart Games,1 joueur,5 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/il-%C3%A9tait-une-ferme,Animaux,"Dans Il était une ferme, c'est à vous de construire des barrières pour séparer les différentes espèces d'animaux.",https://cdn3.philibertnet.com/439885-large_default/il-etait-une-ferme.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
L'Atlantide,,Smart Games,1 joueur,8 ans,25 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/latlantide,Atlantide,Échappez-vous.... avant qu'il ne soit trop tard ! Pouvez-vous quitter Atlantis avant que cette île mythique ne disparaisse à jamais sous l'eau ?,https://cdn2.philibertnet.com/454400-large_default/l-atlantide.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
L'Odyssée des Grenouilles,,Smart Games,2 à 6 joueurs,6 ans,30 mn,Enfants,https://regle.escaleajeux.fr/odysg_rg.pdf,Animaux,Faites traverser l’étang à vos grenouilles tout en empêchant les autres joueurs de faire de même. Le premier joueur qui réussit à amener toute sa famille de l’autre côté remporte la partie.,https://cdn1.philibertnet.com/481477-large_default/l-odyssee-des-grenouilles.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Mini Rogue,"Gabriel Gendron, Paolo Di Stefano",Nut’s Publishing ,1 à 2 joueurs,14 ans,30 mn,Initiés,https://www.nutspublishing.com/eshop/doc/minirogue/Mini-Rogue-EN-Base-Game-Rules.pdf,"Médiéval, Fantastique",Mini Rogue est un jeu de cartes minimaliste dans lequel vous explorez un donjon dans le but de récupérer le rubis de Og. Affrontez des monstres et des pièges et tentez survivre en accumulant de l’expérience et des ressources.,https://cdn3.philibertnet.com/511336-large_default/mini-rogue.jpg,https://www.nutspublishing.com/eshop/image/cache/data/logo/logo_nuts-230x230.jpg
"Pas vu, pas pris !","Phil Vizcarro, Amine Rahmani",Letheia,2 à 4 joueurs,8 ans,30 mn,Tout public,https://www.letheia-games.com/_files/ugd/721fc2_630afabefdfb471ea899b42a3f45905b.pdf,Fantôme,Incarnez une bande de fantômes espiègles et tentez de vous sauver d’un hôtel... sans être vus par les humains qui vous lorgnent par le trou de la serrure !,https://www.espritjeu.com/upload/image/pas-vu--pas-pri---p-image-77974-grande.jpg,"https://static.wixstatic.com/media/721fc2_aa66acb0d2764616850fe60a64ba49e2~mv2.png/v1/fill/w_80,h_80,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Logo%20Leth"
Sushi Go Party,Phil Walker-Harding,Cocktail Games,2 à 8 joueurs,8 ans,30 mn,Tout public,https://www.cocktailgames.com/wp-content/uploads/2022/01/Sushi_go_party_regles.pdf,"Asie, Alimentation","Bienvenue à Sushi go party ! Vous allez diner à la carte au milieu d’un tourbillon de sushis ! Avant de manger, vous devez choisir votre menu à partir d’une grande variété d’options délicieuses. Ensuite, lors de 3 tours de jeu, essayez de marquer plus de points que vos adversaires en prenant les meilleures combinaisons de cartes avant qu’elles vous passent sous le nez ! Qui obtiendra les meilleures combinaisons de cartes devant soi ? Régalez-vous jusqu’à 8 joueurs et jouez tous en même temps : choisissez vos cartes une par une, parmi celles entre vos mains, puis passez le reste à votre voisin de gauche…",https://cdn2.philibertnet.com/534277-large_default/sushi-go-party.jpg,https://www.cocktailgames.com/wp-content/uploads/2016/02/cocktailgames-logo-retina.png
Bioviva Planète - Mers et Océans,,Bioviva,2 à 4 joueurs,8 ans,30 mn,Tout public,https://www.didacto.com/index.php?controller=attachment&id_attachment=2859,"Océan, nature","Avec Bioviva Planète - Mers et Océans, partez à la découverte des quatre coins du globe et partagez vos émotions sans modération ! Observation, intuition et stratégie sont au rendez-vous !",https://cdn2.philibertnet.com/502196-thickbox_default/bioviva-planete-mers-et-oceans.jpg,https://www.bioviva.com/themes/bioviva/assets/svg/bioviva-logo.svg
Kluster,"Paula Henning, Robert Henning",Borderline éditions,1 à 4 joueurs,14 ans,30 mn,Tout public,https://cdn.shopify.com/s/files/1/0566/3821/0205/files/Kluster-rules-A4-12_compressed.pdf?v=1636361905,Abstrait,Kluster est un jeu d'adresse dans lequel les joueurs s'affrontent autour d'une zone délimitée. Le premier qui parvient à poser tous ses aimants remporte le duel.,https://cdn2.philibertnet.com/458291-large_default/kluster.jpg,http://borderlineeditions.com/images/borderline.jpg
Dig Your Way Out,David Simide,Borderline éditions,2 à 6 joueurs,14 ans,60 mn,Initiés,https://cdn.shopify.com/s/files/1/0566/3821/0205/files/DYWO_RULEBOOK_FR-min.pdf?v=1638872261,"Evasion, Prison","Dig your way Out est un jeu de société se déroulant dans une prison d'où il faut s'évader avant les autres. Fabriquez des outils avec des objets de récupération, achetez les avec des cigarettes ou rackettez ceux des autres joueurs.",https://cdn2.philibertnet.com/470892-thickbox_default/dig-your-way-out.jpg,http://borderlineeditions.com/images/borderline.jpg
La Marche du Crabe,Julien Prothière,Jeux Opla,2 joueurs,8 ans,15 mn,Tout public,https://www.jeux-opla.fr/wp-content/uploads/OPLA-CRABE-Livret-PAI.pdf,"Animaux, Océan",La Marche du Crabe est un jeu de déduction coopérative hyper immersif et malin. Incarnez deux crabes super-copains qui ont pour mission de libérer 8 de leurs amis du joug des tourteaux.,https://cdn2.philibertnet.com/476222-large_default/la-marche-du-crabe.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Little Cooperation,,Djeco,2 à 4 joueurs,2 ans,30 mn,Tout public,https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=3598,"Animaux, Nature","Ce jeu de coopération apprend aux plus petits à jouer et à gagner ensemble, les uns avec les autres.",https://www.ludifolie.com/13347-large_default/little-cooperation.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Dictopia,Jérémy Partinico,Subverti,1 à 7 joueurs,10 ans,15 mn,Tout public,https://subverti.com/assets/dl/dictopia/Dictopia-rules-3.9.pdf,Mot avec objectif(s),"Dictopia est un jeu de lettres surprenant, rapide et tactique dans un univers dystopique. Une immersion dans un univers orwellien, une dystopie où les lettres elles-mêmes sont contrôlées.",https://subverti.com/assets/img/games/dict/dict01-dictx1-box.png?v=1679083296,https://subverti.com/assets/img/identity/subverti-horizontal-light.webp
Monstres sous le Lit,,Smart Games,1 joueur,6 ans,5 mn,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/monstres-sous-le-lit,Fantastique,Monstres sous le lit est en jeu proposant 60 défis du plus simple au plus difficile dans un format idéal pour les voyages.,https://cdn1.philibertnet.com/532822-large_default/monstres-sous-le-lit.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Les Pingouins Plongeurs,,Smart Games,1 joueur,6 ans,5 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/les-pingouins-plongeurs,Banquise,Les Pingouins Plongeurs est un jeu de réflexion proposant 60 défis évolutifs. Le but du jeu consiste à réussir à placer les quatre morceaux de banquise autour d’eux.,https://cdn2.philibertnet.com/501395-large_default/les-pingouins-plongeurs.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Pirates en Vue !,,Smart Games,1 joueur,7 ans,5 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/pirates-en-vue,Pirates,Pirates en vue est un jeu de réflexion pour 1 joueur qui contient 80 défis allant du plus simple au plus difficile répartis dans 4 modes de jeu.,https://cdn1.philibertnet.com/500972-large_default/pirates-en-vue-.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Jumping la Compétition,Raf Peeters,Smart Games,1 joueur,7 ans,5 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/jumping-la-comp%C3%A9tition,Animaux,Jumping - La Compétition est un jeu solo de casse-tête où vous devrez relever 80 défis à difficulté croissante.,https://cdn1.philibertnet.com/536314-large_default/jumping-la-competition.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ Stars,Raf Peeters,Smart Games,1 joueur,6 ans,5 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-stars,Abstrait,Un jeu de logique et de réflexion abstrait avec 120 défis à réaliser seul et qui s'emporter partout.,https://cdn2.philibertnet.com/501633-large_default/iq-stars.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Heredity,"Jerome Cance, Laurent Kobel",Darucat,1 à 4 joueurs,14 ans,180 mn,Tout public,https://tts.hereditygame.com/pdf/rules-FR.pdf,univers Post Apocalyptique,Heredity est un jeu coopératif et narratif de 1 à 4 joueurs où vous incarnez le destin d'une famille dans un univers Post Apocalyptique. Votre aventure se déroule sur 5 chapitres qui forment une campagne.,https://forum.cwowd.com/uploads/default/optimized/3X/2/a/2a263e6f2895ffaaad7322617fcb525cf0201b45_2_500x500.jpeg,https://ik.imagekit.io/heredity/www/tr:w-250/logo_79BIFnXMaG.png
Petits Peuples,"Rémi Saunier, Nathalie Saunier",Bombyx,2 à 4 joueurs,10 ans,45 mn,Experts,https://studiobombyx.com/assets/PETITSPEUPLES_rulebook_FR.pdf,Nature,Petits Peuples est un jeu de construction avec objectifs secrets dans lequel vous allez bâtir une cité dans un des territoires du jardin !,https://cdn2.philibertnet.com/514631-large_default/petits-peuples.jpg,https://studiobombyx.com/wp-content/themes/bombyx/images/bombyx-logo.svg
Ctrl Global,Nicolas Brodu,Oka Luda,2 à 5 joueurs,14 ans,80 mn,Experts,http://okaluda.fr/ctrl-global-le-jeu/,,"Dans CTRL GLOBAL, vous êtes à la tête d’une grande organisation et votre but est de faire grandir votre influence sur la population par tous les moyens… Prenez le contrôle des structures étatiques et militaires, des médias et des entreprises, de l’environnement et même… des croyances des gens ! N’hésitez surtout pas à piller les ressources de la planète ! En effet, elles vous permettront de jouer plus vite des effets plus puissants ! Attention toutefois, il est probable que la société civile se rendre compte de vos agissements et qu’elle décide de réagir… Sachez donc rester discret, plus discret que les autres joueurs, pour asseoir et accroître votre influence…",https://okaluda.fr/wp-content/uploads/2020/07/controle-global-Oka-Luda.jpg,https://okaluda.fr/wp-content/uploads/2018/10/cropped-logo-nicofinal-FOND-TRANSPARENT.png
Aurignac,Loïc Lamy,Oka Luda,1 à 5 joueurs,12 ans,90 mn,Initiés,https://www.gigamic.com/files/catalog/products/rules/aurignac-rules-web.pdf,Préhistoire,"Aurignac est un jeu asymétrique, dans lequel vous dirigez un clan de Néandertaliens ou d’Homo-Sapiens. Une mécanique de deck building pour Sapiens, De placement d’ouvriers pour Neandertal et de Gestion de main pour Mère-Nature.",https://www.gigamic.com/files/catalog/products/images/product/oka-luda-aurignac-boite-3d-web.webp,https://okaluda.fr/wp-content/uploads/2018/10/cropped-logo-nicofinal-FOND-TRANSPARENT.png
Mandalas,Alexis Suard,Poptalks,2 à 3 joueurs,10 ans,30 mn,Initiés,https://www.poptalks.com/wp-content/uploads/2022/12/livret_regles_mandalas_FR_EN_v17.pdf,"Abstrait, Mandalas","Vous êtes des maîtres mandalas qui cherchent à influencer des élèves voulant améliorer leur maîtrise dans le choix des couleurs utilisées pour peindre leur mandalas, selon les couleurs que vous jugez importantes. ",https://www.poptalks.com/wp-content/uploads/2022/09/Mise-en-page-couverture_Mandalas-1-1-1024x731.png,https://www.poptalks.com/wp-content/uploads/2022/08/cropped-296995420_5266472316767673_1086588367184898966_n.png
Clinic Rush," Anthony Howgego, Konstantinos Kokkinis, David Turczi",Geek Attitude Games,1 à 4 joueurs,12 ans,30 mn,Tout public,https://www.geekattitudegames.com/wp-content/uploads/2020/09/r%C3%A8gles-Clinic-Rush-FR.pdf,"Médecine, Simulation","Jeunes médecins engagés dans une toute nouvelle clinique, vos collègues et vous devez vous coordonner pour accueillir, diagnostiquer et soigner les patients qui se pressent à vos portes. Prenez les malades en charge dès leur admission jusqu’à leur complète guérison. Mais soyez vigilants car les erreurs médicales se paient cher !",https://www.espritjeu.com/upload/image/clinic-rush-p-image-75151-grande.jpg,https://www.geekattitudegames.com/wp-content/uploads/2018/12/logo-site-1.png
Pessoa,Orlando Sá,Geek Attitude Games,1 à 4 joueurs,10 ans,90 mn,Initiés,https://cdn.1j1ju.com/medias/27/39/7a-pessoa-regle.pdf,"Littérature, Histoire","Pessoa est un jeu de placement d’ouvriers dans lequel chaque joueur interprète un des plus célèbres hétéronymes de l’écrivain : Alberto Caeiro, Ricardo Reis, Álvaro de Campos ou Bernardo Soares.",https://cdn3.philibertnet.com/531827-large_default/pessoa.jpg,https://www.geekattitudegames.com/wp-content/uploads/2018/12/logo-site-1.png
On Board,"Antoine Bauza, Ludovic Maublanc, Corentin Lebrat, Théo Rivière",Capitaine Meeple,2 joueurs,8 ans,20 mn,Tout public,https://cdn.1j1ju.com/medias/91/c8/bb-on-board-regle.pdf,Navigation,On Board est un Flip & Write pour 2 joueurs dans lequel deux capitaines de bateaux de croisières s'affrontent pour décider de celui offrant la plus belle croisière !,https://cdn3.philibertnet.com/536765-large_default/on-board.jpg,https://www.capitainemeeple.com/wp-content/uploads/2021/08/LOGO_CM_horizontal_bleu-250x103.png
Les 9 Muses,Jean-Marc Armbruster,Poptalks,2 à 5 joueurs,8 ans,30 mn,Tout public,https://www.poptalks.com/les-9-muses/,Mythologie,Vous cherchez à acquérir des connaissances auprès des 9 Muses d’Apollon pour que celui-ci vous désigne comme le plus érudit et vous confie la gestion de son nouveau temple à Delphes.,https://www.poptalks.com/wp-content/uploads/2022/09/mockup_muses-1024x683.png,https://www.poptalks.com/wp-content/uploads/2022/08/cropped-296995420_5266472316767673_1086588367184898966_n.png
K3,Philippe Proux,Helvetiq,2 à 4 joueurs,8 ans,25 mn,Tout public,https://mcusercontent.com/228830d2daf74d54c2935571c/files/783106ba-8da2-9fa7-8659-1db672cf6f3c/K3_DP.01.pdf,Cubes,K3 est un jeu de société dans lequel les joueurs ont pour mission de programmer soigneusement leur ascension et d'atteindre le sommet du K3. Un challenge de taille !,https://cdn1.philibertnet.com/516337-large_default/k3.jpg,
Secret Identity,"Bertrand Roux, Alexandre Droit, Kévin Jost, Johan Benvenuto",Funny Fox,3 à 8 joueurs,10 ans,20 mn,Ambiance,https://cdn.1j1ju.com/medias/0e/6a/14-secret-identity-regle.pdf,Devinettes Personnages,"Dans Secret Identity, vous vous verrez attribuer une clé Mystère désignant une carte Personnage parmi les 8 disposées au centre de la table. À l’aide de vos cartes Picto, vous devrez faire deviner votre carte Personnage aux autres joueurs, tout en essayant de deviner la leur, pour gagner un maximum de points de victoire. À chaque manche, de nouveaux personnages seront tirées, mais vos cartes Picto ne seront pas remplacées ! À vous de faire les bons choix et de mesurer les risques… À la fin de la 4e manche, le joueur avec le plus de points de victoire remporte la partie !",https://www.gigamic.com/files/catalog/products/images/product/gigamic_reference_secret-identity_box-left_bd.webp,https://funnyfox.fr/wp-content/uploads/sites/21/2019/09/FunnyfoxNEW3-1024x715.png
